Material,SALDO,C Promedio S/.,COSTO,C Promedio US$,PRECIO PUBLICO
CAL NIEVE 17 KG.                   (sonia)                                                                 ,95,7.42,S/ 9.00,1.88,S/ 16.00
CAL NIEVE DERQUSA 1 KG.                                                                             ,10,1.19,S/ 1.40,0.38,S/ 2.50
CAL NIEVE DERQUSA 17 KG.                                                                            ,27,8.79,S/ 11.00,2.57,S/ 16.00
"CALAMINA GALVANIZADA ONDA 0,14x800x3600                                                             ",9,12.53,S/ 14.79,3.98,S/ 24.00
CAMPEON PEGAMOSCA                                                                                   ,29,0.54,S/ 0.64,0.17,
CANALETA 10 X 10 CON ADHESIVO HOME LIGHT                                                            ,50,1.19,S/ 1.40,0.38,
CANALETA 10 X 15 CON ADHESIVO HOME LIGHT                                                            ,267,1.27,S/ 1.49,0.40,S/ 3.50
CANALETA 10 X 15 CON ADHESIVO SHUBERT                                                               ,-2,0.00,S/ 1.60,0.00,S/ 3.50
CANALETA 10 X 20 CON ADHESIVO                                                                       ,40,1.61,S/ 1.90,0.45,S/ 4.00
CANALETA 10 X 20 CON ADHESIVO HOME LIGHT                                                            ,125,1.53,S/ 1.80,0.48,S/ 4.00
CANALETA 14 X 24 CON ADHESIVO HOME LIGHT                                                            ,2,2.12,S/ 2.50,0.67,S/ 5.00
CANALETA 19 X 39 CON ADHESIVO                                                                       ,,,,,S/ 6.50
CANALETA PVC DE PISO 40MM X 2MTS                                                                    ,5,6.61,S/ 7.80,2.10,
CANDADO 20MM PORTE                                                                                  ,8,2.12,S/ 2.50,0.67,
CANDADO 25MM                                                                                        ,4,2.47,S/ 2.92,0.63,
CANDADO 25MM PORTE                                                                                  ,2,4.24,S/ 5.00,1.35,
CANDADO 25MM YT27                                                                                   ,-2,0.00,S/ 0.00,0.00,
CANDADO 30MM                                                                                        ,8,3.53,S/ 3.75,,
CANDADO 30MM JINYE                                                                                  ,13,1.62,S/ 1.92,0.52,
CANDADO 32MM                                                                                        ,4,2.47,S/ 2.92,0.63,
CANDADO 32MM ECONOMICO                                                                              ,2,3.55,S/ 4.18,1.13,
CANDADO 38MM                                                                                        ,4,2.47,S/ 2.92,0.63,
CANDADO 38MM ECONOMICO                                                                              ,1,3.55,S/ 4.18,1.13,
CANDADO 38MM PORTE                                                                                  ,6,3.39,S/ 4.00,1.08,
CANDADO 40MM                                                                                        ,7,3.58,S/ 5.42,,S/ 8.00
CANDADO 40MM PORTE                                                                                  ,19,2.49,S/ 2.94,0.79,
CANDADO 40MM TRAVEX                                                                                 ,23,1.77,S/ 2.08,0.56,
CANDADO 50MM                                                                                        ,8,3.53,S/ 7.00,,S/ 12.00
CANDADO 50MM FORTE                                                                                  ,14,5.08,S/ 28.00,1.61,
CANDADO 50MM JINYE                                                                                  ,21,2.26,S/ 2.67,0.72,
CANDADO 50MM TRAVEX                                                                                 ,6,25.42,S/ 30.00,8.07,
CANDADO 60MM TRAVEX                                                                                 ,6,27.97,S/ 33.00,8.88,
CANDADO 70MM TRAVEX                                                                                 ,3,40.68,S/ 48.00,12.92,
CANDADO 90MM TRAVEX                                                                                 ,3,49.15,S/ 58.00,15.61,
CANDADO Y-110 50MM YALE                                                                             ,11,26.19,S/ 30.90,8.91,
CANOPLA AC,,,S/ 7.00,,
CANOPLA AC,,,S/ 6.50,,
CANOPLA VAINSA REPUESTO,,,S/ 7.00,,
"CANTONERA 2"" X 6MT                                                                                  ",8,36.02,S/ 42.50,11.44,S/ 55.00
CAÑO  GANZO,,,S/ 24.00,,
"CAÑO 1/2"" AZUL                                              ",,,S/ 13.00,,
"CAÑO 1/2"" DE BRONCE JARDINERO                                                                              ",-4,0.00,S/ 7.50,0.00,
"CAÑO 1/2"" DE BRONCE PESADA CHICO                                                                    ",,,S/ 6.00,,
"CAÑO 1/2"" JARDINERO AZUL                                                                            ",,,S/ 3.00,,
"CAÑO 1/2"" JARDINERO AZURIN                                                                           ",,,S/ 9.00,,
"CAÑO 1/2"" JARDINERO CYA                                                                      ",,,S/ 6.00,,
"CAÑO 1/2"" JARDINERO KLEPER AMARILLO                                                                                     ",-3,0.00,S/ 0.00,0.00,S/ 18.00
"CAÑO 1/2"" JARDINERO KROSS                                                                           ",2,6.25,S/ 8.00,1.99,
"CAÑO 1/2"" JARDINERO METAL PESADA CINVAL                                                             ",-7,0.00,S/ 28.00,0.00,S/ 36.00
"CAÑO 1/2"" JARDINERO RAYMA  ROJO                                                                    ",-3,0.00,S/ 6.00,0.00,S/ 12.00
"CAÑO 1/2"" JARDINERO VALMAX                                                                          ",,,S/ 7.00,,
"CAÑO 1/2"" LAVATORIO  CROMADO FABRISUR                                                          ",,,S/ 15.50,,
"CAÑO 1/2"" LAVATORIO  RECORD                                               ",,,S/ 45.00,,
"CAÑO 1/2"" LAVATORIO BRONCE CROMADO FAVINSA                                                          ",6,16.53,S/ 19.50,5.25,S/ 28.00
"CAÑO 1/2"" LAVATORIO PESADO A304 WALITALY                                                            ",-2,0.00,S/ 0.00,0.00,
CAÑO PICO DE GANZO ACRILICO FAVINSA                                                                 ,3,13.56,S/ 16.00,4.31,
CAÑO PICO DE GANZO CROMADO FAGRISUR                                                                 ,3,12.71,S/ 15.50,4.04,
CAÑO PICO DE GANZO CROMADO FAVINSA                                                                  ,5,13.84,S/ 16.33,4.40,
CAÑO PICO DE GANZO CROMADO LIMBICO                                                                  ,4,19.07,S/ 22.50,6.06,
CAPUCHONES GRIS                                                                                     ,1000,0.03,S/ 0.03,0.01,S/ 0.30
CAPUCHONES ROJOS                                                                                    ,1496,0.07,S/ 0.09,0.02,S/ 0.30
"CARBON P/AMOLADORA BLACK DECKER 41/2"" C-531                                                         ",11,4.24,S/ 5.00,1.35,S/ 10.00
"CARBON P/AMOLADORA BLACK DECKER 41/2"" C-556                                                         ",9,4.24,S/ 5.00,1.35,S/ 10.00
"CARBON P/AMOLADORA BOSCH 41/2"" C-504 A                                                              ",9,4.24,S/ 5.00,1.35,S/ 10.00
"CARBON P/AMOLADORA BOSCH 41/2"" C-543                                                                ",12,4.24,S/ 5.00,1.35,S/ 10.00
CARBON P/AMOLADORA BOSCH C-508                                                                      ,7,5.08,S/ 6.00,1.61,S/ 10.00
"CARBON P/AMOLADORA CROWN 41/2"" C-532                                                                ",10,4.24,S/ 5.00,1.35,S/ 10.00
CARBON P/AMOLADORA CROWN C-538                                                                      ,12,5.08,S/ 6.00,1.61,S/ 10.00
"CARBON P/AMOLADORA DEWALT 41/2"" C-561                                                               ",12,4.24,S/ 5.00,1.35,S/ 10.00
"CARBON P/AMOLADORA MAKITA 41/2"" C-566                                                               ",12,4.24,S/ 5.00,1.35,S/ 10.00
CARBON P/ROTOMARTILLO BOSCH C-508A                                                                  ,6,5.08,S/ 6.00,1.61,S/ 10.00
CARBON P/ROTOMARTILLO BOSCH C-511                                                                   ,6,5.08,S/ 6.00,1.61,S/ 10.00
CARBON P/ROTOMARTILLO BOSCH C-527                                                                   ,6,4.24,S/ 5.00,1.35,S/ 10.00
CARBON P/ROTOMARTILLO BOSCH C-547                                                                   ,5,5.08,S/ 6.00,1.61,S/ 10.00
CARBON P/ROTOMARTILLO CRONW C-564                                                                   ,6,4.24,S/ 5.00,1.35,S/ 10.00
CARBON P/ROTOMARTILLO CROWN C-565                                                                   ,6,4.24,S/ 5.00,1.35,S/ 10.00
CARBON P/ROTOMARTILLO MAKITA C-584                                                                  ,6,5.08,S/ 6.00,1.61,S/ 10.00
CARBON P/ROTOMARTILLO Y AMOLADORA DEWALT C-548                                                      ,6,5.08,S/ 6.00,1.61,
CARBONES NRO 236                                                                                    ,,,S/ 4.50,,
CARBONES NRO 264                                                                                    ,,,S/ 4.00,,
CARBONES NRO 280                                                                                    ,,,S/ 4.00,,
CARRETILLA C/ LLANTA FORZADA MARTELL                                                                ,9,90.63,S/ 106.94,22.94,
CARRETILLA C/ LLANTA SUPER FORZADA SCHUBERT                                                         ,0,80.51,S/ 95.00,25.57,
CARRETILLA CON ARENA FINA                                                                           ,-7,0.00,S/ 0.00,0.00,
CARRETILLA GAVANIZADA T/BUGGI   PESADA                                                                    ,,,S/ 165.00,,S/ 180.00
CARRETILLA GAVANIZADA T/BUGGI  LIVIANA                                                                     ,-1,76.27,S/ 135.00,24.22,S/ 160.00
CARRETILLA PESADA T/BUGGY ARMADA PRETUL                                                             ,2,102.54,S/ 121.00,32.56,
CARRETILLA PESADA T/BUGGY ARMADA TRUPER                                                             ,3,136.72,S/ 161.33,43.42,
CASCO DE SEGURIDAD NACIONALES                                                                       ,7,4.91,S/ 5.79,1.56,
CASCO DE SEGURIDAD TRIDENTE                                                                         ,12,10.17,S/ 12.00,3.23,
CASETONES 0.12 X 0.3 X 1.20                                                                         ,193,6.54,S/ 9.00,1.79,S/ 12.00
CASETONES 0.15 X 0.3 X 1.20                                                                         ,79,6.97,S/ 10.00,1.92,S/ 13.00
CATALIZADOR MASILLA TOQUE TAMSA CHISGUETE                                                           ,10,1.95,S/ 9.50,0.62,S/ 15.00
CAUTIL 30W EUROTOOLS,,,S/ 6.90,,S/ 15.00
CAUTIL 60W EUROTOOLS,,,S/ 9.15,,S/ 20.00
CAZADOR EN CEBO                                                                                     ,,,S/ 2.50,,
CEBO RATICIDA                                                                                       ,35,2.03,S/ 2.40,0.65,
CEMENTO ANDINO ASTM TIPO V                                                                          ,-149,0.00,S/ 0.00,0.00,
CEMENTO ANDINO ULTRA TIPO HS                                                                        ,532,21.67,S/ 25.57,5.49,S/ 27.50
CEMENTO APU                                                                                         ,15242,19.09,S/ 22.53,4.83,S/ 25.00
CEMENTO BLANCO 1KG. DERQUSA                                                                         ,11,1.10,S/ 1.30,0.35,S/ 3.50
CEMENTO BLANCO 1KG. LOSARO                                                                          ,40,1.40,S/ 1.65,0.35,S/ 3.50
CEMENTO BLANCO 1KG. MARTELL                                                                         ,-2,0.00,S/ 3.20,0.00,S/ 4.00
CEMENTO BLANCO 1KG. NOVACERAM                                                                       ,32,1.70,S/ 2.00,0.54,S/ 3.50
CEMENTO SOL TIPO I                                                                                  ,13328,21.20,S/ 25.01,5.37,S/ 27.00
"CERA ACRILICA AL AGUA PERFUMADA 1 GLN. (3,5 LT) MARTELL                                             ",4,5.93,S/ 7.00,1.88,
CERA ACRILICA BLANCO 1 GLN. AROMIX                                                                  ,0,4.98,S/ 5.88,1.58,
CERA ACRILICA PERFUMADA BLANCO 1 GLN. AROMIX                                                        ,1,4.90,S/ 5.79,1.56,
CERA AL AGUA 300 ML. SAPOLIO                                                                        ,18,1.29,S/ 1.52,0.41,
CERA AL AGUA AMARILLA 1 GLN                                                                         ,3,7.03,S/ 8.30,2.23,
CERA AL AGUA AUTOBRILLANTE AMARILLA C/TAPA 330ML. TEKNOWAX                                          ,9,2.19,S/ 2.58,0.69,
CERA AL AGUA AUTOBRILLANTE AMARILLO 300 ML. SAPOLIO                                                 ,12,2.37,S/ 2.80,0.75,
CERA AL AGUA AUTOBRILLANTE NEUTRAL C/TAPA 330ML. TEKNOWAX                                           ,10,2.85,S/ 3.36,0.90,
CERA AL AGUA AUTOBRILLANTE ROJA 300 ML. SAPOLIO                                                     ,11,2.37,S/ 2.80,0.75,
CERA AL AGUA AUTOBRILLANTE ROJA C/TAPA 330ML. TEKNOWAX                                              ,24,2.67,S/ 3.15,0.85,
CERA AL AGUA NEUTRAL 1 GLN AROMIX                                                                   ,11,5.30,S/ 7.00,1.34,S/ 12.00
CERA AL AGUA PERFUMADA AMARILLA 1 GLN AROMIX                                                        ,8,5.93,S/ 7.00,1.88,
CERA AL AGUA PERFUMADA BLANCA GLN. LOSARO                                                           ,15,6.32,S/ 7.46,2.01,
CERA AL AGUA PERFUMADA ROJA 1 GLN AROMIX                                                            ,6,5.93,S/ 7.00,1.88,
CERA AL AGUA PERFUMADA VERDE 1 GLN AROMIX                                                           ,7,5.93,S/ 7.00,1.88,
CERA AUTOBRILLANTE NEUTRAL 1 GLN AROMIX                                                             ,12,10.17,S/ 12.00,3.23,
CERA EN CREMA PARA AUTO C/SILICONA 200GR SAPOLIO                                                    ,19,8.82,S/ 10.41,2.80,
CERA EN PASTA AMARILLO 300 ML. SAPOLIO                                                              ,2,2.40,S/ 2.83,0.76,
CERA EN PASTA AMARILLO GLN. LOSARO                                                                  ,2,21.02,S/ 24.80,6.67,
CERA EN PASTA NEGRO 300 ML. SAPOLIO                                                                 ,16,2.84,S/ 3.35,0.90,S/ 5.00
CERA EN PASTA NEUTRO 300 ML. SAPOLIO                                                                ,15,2.85,S/ 3.37,0.91,S/ 5.00
CERA EN PASTA ROJA 300 ML. TEKNO                                                                    ,6,2.73,S/ 3.22,0.87,S/ 5.00
CERA EN PASTA ROJO 300 ML. SAPOLIO                                                                  ,93,2.59,S/ 3.06,0.82,S/ 5.00
CERA EN PASTA VERDE 300 ML. SAPOLIO                                                                 ,23,2.47,S/ 2.92,0.78,S/ 5.00
CERA LIQUIDA NEGRO GLN. LOSARO                                                                      ,2,6.56,S/ 7.74,2.08,
CERA LIQUIDA ROJO GLN.                                                                              ,20,8.47,S/ 10.00,2.69,
CERA LIQUIDA ROJO GLN. LOSARO                                                                       ,5,6.61,S/ 7.80,2.10,
CERA PREMIUN SILICONADA ROJA 1 GLN.LOSARO                                                           ,2,12.29,S/ 14.50,3.90,
"CERA SILICONADA ROJA 1 GLN. (3,5 LT) MARTELL                                                        ",5,15.68,S/ 18.50,4.98,
CERRADURA 114 TRAVEX                                                                                ,5,28.81,S/ 34.00,9.15,
CERRADURA 130 TRAVEX                                                                                ,4,30.51,S/ 36.00,9.69,
CERRADURA 134 TRAVEX                                                                                ,1,30.51,S/ 36.00,9.69,
CERRADURA 240 FORTE                                                                                ,,,S/ 52.00,,
CERRADURA 240 TRAVEX                                                                                ,8,39.45,S/ 40.00,12.53,
CERRADURA MANIJA BRISA LB60DCANTOL                                                                  ,8,43.43,S/ 55.00,13.79,
CERRADURA POMO BL80 CANTOL                                                                          ,6,27.12,S/ 32.00,8.61,
CERRADURA POMO F8791BNET                                                                            ,12,12.72,S/ 15.01,4.04,
CERRADURA POMO F8791SSET                                                                            ,12,11.86,S/ 13.99,3.77,
CERRADURA SOBREPONER S900 CANTOL                                                                    ,8,55.16,S/ 65.00,17.52,
CERRADURA SOBREPONER S900 TRAVEX                                                                    ,6,32.20,S/ 38.00,10.23,
"CERROJO 2""",,,S/ 0.79,,
"CERROJO 3""",,,S/ 0.89,,
"CERROJO ALDABA 2""                                                                                   ",-1,0.00,S/ 0.00,0.00,
"CERROJO P/PORTON NRO 07""                                                                            ",-1,0.00,S/ 0.00,0.00,
"CERROJO PICAPORTE 1 1/2""                                                                            ",-2,0.00,S/ 0.00,0.00,
"CERROJO PICAPORTE 3""                                                                                ",-13,0.00,S/ 0.00,0.00,
"CERROJO SANSOM 2""                                                                                ",,,S/ 2.08,,
"CERROJO SANSOM 3""                                                                               ",,,S/ 4.20,,
CERROJO SANSOM CHICO                                                                                ,11,1.26,S/ 1.48,0.40,
CERROJO SANSOM GRANDE                                                                               ,12,1.81,S/ 2.13,0.57,
CHALECO POLYESTER C/CINTA REFLECTIVA                                                                ,-4,4.24,S/ 5.00,1.35,
CHAPA 333 (3GOLPES) TRAVEX                                                                          ,17,35.49,S/ 41.88,10.54,
CHAPA 34 (3GOLPES) TRAVEX                                                                           ,3,38.14,S/ 45.00,12.11,
CHAPA 911 (3GOLPES) TRAVEX                                                                          ,10,42.70,S/ 50.38,13.56,
CHAPA CANTOL,,,S/ 30.00,,
CHAPA D/ESCRITORIO ECON.                                                                            ,-1,0.00,S/ 0.00,0.00,
CHAPA PALANCA PISETY                                                                                ,,,S/ 25.00,,
CHAPA PERILLA 2100 TRAVEX                                                                           ,24,22.64,S/ 28.00,7.19,S/ 38.00
CHAPA PERILLA 2200 TRAVEX                                                                           ,24,22.99,S/ 29.00,6.51,
CHAPA PERILLA 2300 TRAVEX                                                                           ,29,23.15,S/ 29.00,6.70,
CHAPA PERILLA ACERADO                                                                               ,,,S/ 13.00,,
CHAPA PERILLA PISETY BOLA DORADO                                                                    ,,,S/ 12.00,,
CHAPA PERILLA WAILEC,,,,,S/ 22.00
CHAPA POMO P/PUERTA CONTRAPLACADA ACERO INOX. YALE                                                  ,7,18.05,S/ 21.30,5.90,
"CHECK DE PIE 1 1/2"" BRONCE GROSSO                                                                   ",-1,0.00,S/ 0.00,0.00,
"CHECK DE PIE 1"" BRONCE CINVAL                                                                       ",8,40.18,S/ 50.00,12.76,
"CHECK DE PIE 1/2"" BRONCE CINVAL                                                                     ",,,S/ 29.00,,
"CHECK DE PIE 1/2"" BRONCE GROSSO                                                                     ",10,25.42,S/ 30.00,8.07,
"CHECK DE PIE 1/2"" SCHUBERT                                                                          ",6,5.93,S/ 7.00,1.88,
"CHECK DE PIE 2""  BRONCE GROSSO                                                                      ",3,36.44,S/ 43.00,11.57,
"CHECK DE PIE 3/4"" BRONCE CINVAL                                                                     ",,,S/ 41.00,,
"CHECK DE POZO 1 1/4 ""  GROSSO                                                                       ",3,16.95,S/ 20.00,5.38,
"CHECK VERTICAL 1"" DE BRONCE CINVALL                                                                 ",,,S/ 60.00,,S/ 70.00
"CHECK VERTICAL 1"" DE BRONCE CINVALL                                                                 ",3,44.92,S/ 53.00,14.26,
"CHECK VERTICAL 1"" DE BRONCE ITALI AYRON                                                             ",,,S/ 40.00,,
"CHECK VERTICAL 1"" DE BRONCE VALMAX                                                               ",-5,25.42,S/ 20.00,8.07,
"CHECK VERTICAL 1/2"" DE BRONCE CINVALL                                                                 ",,,S/ 33.00,,S/ 47.00
"CHECK VERTICAL 1/2"" DE BRONCE ITALI AYRON                                                           ",,,S/ 23.00,,
"CHECK VERTICAL 1/2"" DE BRONCE SCHUBERT                                                              ",,,S/ 10.00,,
"CHECK VERTICAL 3/4"" DE BRONCE CINVALL                                                                 ",,,S/ 50.00,,S/ 70.00
CHEMA 3 ACELERANTE DE FRAGUA BIDON                                                                  ,-3,97.46,S/ 115.00,30.95,
CHEMA 3 ACELERANTE DE FRAGUA GLN                                                                    ,-22,19.75,S/ 23.31,6.27,
"CINCEL 12 CUNA 1"" S/EMPUNADURA                                                                      ",6,16.25,S/ 19.18,5.16,
"CINCEL 12 CUNA 3/4"" S/EMPUNADURA                                                                    ",6,9.69,S/ 11.43,3.08,
"CINCEL DE FIERRO 1/2""                                                                               ",16,1.69,S/ 3.00,0.54,S/ 5.00
"CINCEL DE FIERRO 3/8""                                                                               ",19,1.69,S/ 2.00,0.54,
CINTA AISLANTE 3M TEMFLEX 20YDS 3M                                                                  ,909,2.45,S/ 3.40,0.62,S/ 6.00
CINTA AISLANTE 3M TEMFLEX 5YDS 3M                                                                   ,29,0.97,S/ 1.70,0.31,S/ 3.00
CINTA AISLANTE INDECO                                                             ,,,S/ 4.00,,S/ 7.00
CINTA AMARILLA X ROLLO 200MT                                                                             ,3,16.95,S/ 23.00,5.38,
CINTA DE EMBALAJE 2X100M,,,S/ 4.35,,S/ 8.00
CINTA DE EMBALAJE 2X40M,,,S/ 2.05,,S/ 6.00
CINTA DE EMBALAJE DELGADO                                                                           ,10,1.86,S/ 2.20,0.59,S/ 3.00
CINTA DOBLE CONTACTO                                                                                ,6,1.53,S/ 1.80,0.48,S/ 6.00
"CINTA MASKING PROFESIONAL 3/4""X30 YARDAS                                                            ",12,1.14,S/ 1.35,0.36,
"CINTA MASKING TAPE USO GENERAL 1 1/2""X40 YARDAS PEGAFAN                                             ",-3,0.00,S/ 0.00,0.00,
"CINTA MASKING TAPE USO GENERAL 1""X164FT TRUPER                                                      ",8,4.89,S/ 5.77,1.55,
"CINTA MASKING TAPE USO GENERAL 1""X30 YARDAS PEGAFAN                                                 ",-5,0.00,S/ 2.92,0.00,S/ 6.00
"CINTA MASKING TAPE USO GENERAL 1/2""X30 YARDAS PEGAFAN                                               ",-2,0.00,S/ 0.00,0.00,
"CINTA MASKING TAPE USO GENERAL 11/2"" TRUPER                                                         ",4,7.62,S/ 8.99,2.42,
"CINTA MASKING TAPE USO GENERAL 2"" TRUPER                                                            ",6,9.77,S/ 11.53,3.10,S/ 18.00
"CINTA MASKING TAPE USO GENERAL 2""X40 YARDAS 3M                                                      ",-5,0.00,S/ 0.00,0.00,
"CINTA MASKING TAPE USO GENERAL 2""X40 YARDAS PEGAFAN                                                 ",-1,0.00,S/ 6.42,0.00,S/ 8.50
"CINTA MASKING TAPE USO GENERAL 3/4""X164FT TRUPER                                                    ",6,3.58,S/ 4.23,1.14,
"CINTA MASKING TAPE USO GENERAL 3/4""X27 YARDAS 3M                                                    ",-1,0.00,S/ 0.00,0.00,
CINTA METRICA 10 MT                                                                                 ,4,9.75,S/ 11.50,3.09,
CINTA METRICA 30MT. C & A                                                                           ,,,S/ 19.00,,
CINTA METRICA 3MT AC. AREQ.                                                                         ,51,4.65,S/ 5.49,1.48,
CINTA METRICA 3MT KAMASA                                                                            ,23,1.27,S/ 1.50,0.40,
CINTA METRICA 3MT SCHUBERT                                                                          ,11,2.89,S/ 3.40,0.92,
CINTA METRICA 3MT STANLEY                                                                           ,1,7.63,S/ 9.00,2.42,
CINTA METRICA 3MT TRUPER                                                                            ,12,6.64,S/ 7.84,2.11,
CINTA METRICA 50 MT                                                                                 ,-1,0.00,,0.00,S/ 46.00
CINTA METRICA 50MT. ASAKI                                                                           ,8,12.71,S/ 15.00,4.04,
CINTA METRICA 5MT                                                                                   ,10,1.84,S/ 5.00,0.58,S/ 8.00
CINTA METRICA 5MT AC. AREQ.                                                                         ,216,8.37,S/ 9.88,2.58,
CINTA METRICA 5MT C/PROTECTOR,24,3.99,S/ 5.00,1.13,
"CINTA METRICA 5MT GRIPPER IMPACTO 1"" TRUPER                                                         ",6,27.77,S/ 32.77,8.82,
CINTA METRICA 5MT GRIPPER IMPACTO 3/4 TRUPER                                                        ,12,15.31,S/ 18.06,4.86,
CINTA METRICA 5MT KAMASA                                                                            ,33,4.86,S/ 6.80,1.41,S/ 10.00
CINTA METRICA 5MT SCHUBERT                                                                          ,12,3.98,S/ 4.70,1.26,
CINTA METRICA 5MT STANLEY                                                                           ,6,13.56,S/ 22.00,4.31,S/ 27.00
CINTA METRICA 5MT TRUPER                                                                            ,6,8.95,S/ 12.00,2.84,S/ 17.00
CINTA METRICA 7.5MT                                                                                 ,9,6.78,S/ 8.00,2.15,
CINTA METRICA 7.5MT KAMASA                                                                          ,12,11.10,S/ 13.10,2.81,S/ 18.00
CINTA METRICA 8MT ACER. AREQ.                                                                       ,23,14.07,S/ 16.60,4.16,
CINTA METRICA 8MT PRETULS                                                                           ,10,8.47,S/ 10.00,2.69,
CINTA METRICA 8MT TRUPER                                                                           ,,,S/ 21.00,,S/ 38.00
CINTA METRICA P/CABLE 10MT. KAMASAKI                                                                ,-1,0.00,S/ 0.00,0.00,
CINTA PASA CABLE C/RESORTE 10MT. KLINSMANN                                                          ,,,S/ 7.00,,
CINTA PASA CABLE C/RESORTE 15MT. KLINSMANN                                                          ,,,S/ 8.50,,
CINTA PASA CABLE C/RESORTE 5MT. KLINSMANN                                                           ,4,6.12,S/ 7.23,2.08,
CINTA PASA CABLE DE PLASTICO 5M/19MM BULLTOOLS                                                      ,12,4.24,S/ 5.00,1.35,
CINTA PELIGRO AMARILLO,,,S/ 23.00,,
CINTA PELIGRO ROJO,,,S/ 23.00,,
CINTA ROJO X ROLLO 200MT                                                                                   ,,,S/ 23.00,,
CINTA TEFLON                                                                                        ,-46,0.33,S/ 1.00,0.11,S/ 1.50
CINTA TEFLON MAGNUM                                                                                 ,868,0.38,S/ 0.45,0.10,
CINTILLO 300X100UNID,,,S/ 7.00,,
CINTILLO 4.8X300,,,S/ 14.40,,
CINTILLO 4.8X400,,,S/ 17.60,,
CINTILLO 4.8X500,,,S/ 25.60,,
CINTILLO 400X100UNID,,,S/ 11.50,,
CINTILLO NYLON BLANCO 3.6 X 200 MM                                                                  ,49,0.25,S/ 0.30,0.08,
"CINTILLO NYLON BLANCO 4,8 X 300 MM                                                                  ",-10,0.00,S/ 0.00,0.00,
CINTLLO 20 B/N,,,S/ 4.00,,
CINTLLO 25 B/N,,,S/ 5.00,,
CINTLLO 30 B/N,,,S/ 6.50,,
CINTLLO 40 B/N,,,S/ 10.00,,
CISTERNA COLOR AZUL 1200 LT. ROTOPLAS                                                               ,0,864.41,"S/ 1,020.00",218.84,
"CIZALLA 12""                                                                                         ",2,22.03,S/ 26.00,7.00,
"CIZALLA 12"" TRUPER                                                                                  ",2,35.61,S/ 42.02,11.31,
CIZALLA 14 TRUPER                                                                                   ,1,39.42,S/ 46.52,12.52,
"CIZALLA 18""                                                                                         ",2,28.64,S/ 33.80,9.09,
"CIZALLA 18""  TRUPER                                                                                 ",2,37.46,S/ 44.20,11.90,
"CIZALLA 24""  C & A                                                                                  ",1,23.51,S/ 27.74,7.47,
"CIZALLA 24"" KAMASA                                                                                  ",2,50.27,S/ 59.32,12.73,
"CIZALLA 36""  KAMASA NEGRO                                                                           ",4,73.73,S/ 87.00,23.41,
"CLAVO ALBAÑIL 1 1/2"" PRODAC                                                                         ",-77.25,5.00,S/ 5.90,1.59,S/ 12.00
"CLAVO ALBAÑIL 1"" PRODAC                                                                             ",21.5,5.45,S/ 6.44,1.73,S/ 12.00
"CLAVO ALBAÑIL 2 1/2""  ALDEA                                                                         ",224,3.09,S/ 3.65,0.78,S/ 7.50
"CLAVO ALBAÑIL 2"" ALDEA                                                                              ",-3,3.24,S/ 3.82,0.90,S/ 7.50
"CLAVO ALBAÑIL 2"" MACHO                                                                             ",,,S/ 5.27,,S/ 7.50
"CLAVO ALBAÑIL 2"" METALYCK                                                                           ",512,4.50,S/ 5.31,1.43,S/ 7.50
"CLAVO ALBAÑIL 2"" PRODAC                                                                             ",237,3.27,S/ 3.86,0.83,S/ 7.50
"CLAVO ALBAÑIL 2"" TREPER                                                                             ",211,4.50,S/ 5.31,1.20,S/ 7.50
"CLAVO ALBAÑIL 3"" ALDEA                                                                              ",335,3.26,S/ 3.84,0.82,S/ 7.50
"CLAVO ALBAÑIL 3"" MACHO                                                                             ",,,S/ 5.27,,S/ 7.50
"CLAVO ALBAÑIL 3"" METALYCK                                                                           ",290,4.31,S/ 5.09,1.37,S/ 7.50
"CLAVO ALBAÑIL 4"" TREPER                                                                             ",37,3.74,S/ 4.42,1.00,S/ 7.50
"CLAVO ALBAÑIL 5"" CON CABEZA                                                                         ",71,2.63,S/ 3.10,0.83,S/ 10.00
"CLAVO ALBAÑIL 5"" PRODAC                                                                             ",34,4.49,S/ 5.30,1.43,S/ 10.00
"CLAVO ALBAÑIL 7"" CON CABEZA                                                                         ",50,2.80,S/ 3.30,0.89,S/ 10.00
"CLAVO ALBAÑIL 8"" CON CABEZA.                                                                        ",24,2.80,S/ 3.30,0.89,S/ 10.00
"CLAVO ALCAYATA 2 1/2""                                                                               ",957,0.09,S/ 0.10,0.03,S/ 0.30
"CLAVO ALCAYATA 2""                                                                                   ",924,0.09,S/ 0.10,0.03,S/ 0.25
"CLAVO ALCAYATA 3""                                                                                   ",953,0.09,S/ 0.10,0.03,S/ 0.40
"CLAVO ALCAYATA 3""  BARCO                                                                            ",-4,0.00,S/ 0.00,0.00,S/ 0.40
"CLAVO DE ACERO 1 1/2"" BARCO                                                                         ",-38,0.08,S/ 0.10,0.03,S/ 0.20
"CLAVO DE ACERO 1"" BARCO                                                                             ",379,0.03,S/ 0.03,0.01,S/ 0.10
"CLAVO DE ACERO 1"" BARCO                                                                             ",1,6.78,S/ 8.00,2.15,S/ 0.10
"CLAVO DE ACERO 2  1/2"" BARCO                                                                        ",9,0.07,S/ 0.09,0.02,S/ 0.30
"CLAVO DE ACERO 2 1/2"" BARCO X CAJA                                                                      ",49,6.36,S/ 7.50,2.02,S/ 15.00
